drugbank_id,rxcui
DB01597,2540
DB01598,5690;1545986
DB01599,8699
DB01600,38253
DB01601,195088
DB01602,18687
DB01603,
DB01604,8372
DB01605,627
DB01606,37617
DB01607,10591
DB01608,8766
DB01609,614373
DB01610,275891
DB01611,5521
DB01612,742
DB01613,4040
DB01614,155
DB01615,161203
DB01616,17627
DB01618,7019
DB01619,33283
DB01620,8132
DB01621,8348
DB01622,10498
DB01623,10510
DB01624,114176
DB01625,89784
DB01626,7930
DB01627,6398
DB01628,307296
DB01629,
DB01630,
DB01631,
DB01632,
DB01633,
DB01634,
DB01635,
DB01636,
DB01637,
DB01638,9945
DB01639,
DB01640,
DB01641,
DB01642,
DB01643,
DB01644,
DB01645,25696
DB01646,
DB01647,
DB01648,
DB01649,
DB01650,
DB01651,
DB01652,
DB01655,
DB01656,1091836
DB01657,
DB01658,
DB01659,
DB01661,
DB01662,
DB01663,
DB01664,
DB01665,
DB01666,
DB01667,
DB01668,
DB01669,
DB01670,
DB01671,
DB01672,
DB01673,
DB01674,
DB01675,
DB01676,
DB01677,25389
DB01678,
DB01679,
DB01681,
DB01682,
DB01683,
DB01684,
DB01685,
DB01686,
DB01687,
DB01688,
DB01689,
DB01690,
DB01691,
DB01692,
DB01694,
DB01695,
DB01697,
DB01698,9500
DB01699,
DB01700,
DB01701,
DB01702,
DB01703,
DB01704,
DB01705,
DB01706,
DB01707,
DB01708,3143
DB01709,
DB01710,
DB01711,
DB01712,
DB01713,
DB01714,
DB01715,
DB01716,
DB01717,
DB01718,20614
DB01719,
DB01720,
DB01721,
DB01723,
DB01724,
DB01725,
DB01726,
DB01727,
DB01728,
DB01729,
DB01731,
DB01732,
DB01733,
DB01734,
DB01735,
DB01736,
DB01737,
DB01738,
DB01739,
DB01740,
DB01741,
DB01742,
DB01744,1952;1297880;1298738;1371994
DB01745,
DB01746,
DB01747,
DB01748,
DB01749,
DB01750,
DB01751,
DB01752,
DB01753,
DB01754,
DB01755,
DB01756,
DB01758,
DB01759,
DB01760,
DB01761,
DB01762,
DB01763,
DB01764,229369
DB01765,
DB01766,
DB01767,
DB01768,
DB01771,
DB01772,
DB01773,
DB01774,
DB01775,
DB01776,
DB01777,
DB01778,
DB01779,
DB01780,
DB01782,
DB01783,7891;62400
DB01784,
DB01785,
DB01786,
DB01788,
DB01789,
DB01790,
DB01791,
DB01792,
DB01793,
DB01794,
DB01795,
DB01796,
DB01797,
DB01798,
DB01799,
DB01800,
DB01802,
DB01803,
DB01804,
DB01805,
DB01806,
DB01807,
DB01808,
DB01809,
DB01810,
DB01811,
DB01812,
DB01813,
DB01814,
DB01815,
DB01816,
DB01817,
DB01818,
DB01819,
DB01820,
DB01821,
DB01822,
DB01823,
DB01824,
DB01825,
DB01826,
DB01827,
DB01828,
DB01829,
DB01830,
DB01831,
DB01832,
DB01833,
DB01834,
DB01835,
DB01836,
DB01837,
DB01838,
DB01839,34693
DB01840,
DB01841,
